RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I    V,14,23.07.2024,16:48:22.843,110.7000,0.0465,-.----,-.----,-82.06,19.81,20.48,90.01,150.00,-6.5,40.30,-1.16,1.85,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,7.17,3.72,0.65,4.86,0.62,0.78,0.67,0.84,6.30,24.52,0.74,06 59.48985164' S,107 33.97236612' E,666.70,0.37,23.07.2024,09:49:09.484,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,15,23.07.2024,16:48:23.343,110.7000,0.0465,-.----,-.----,-82.36,19.83,21.02,90.00,149.99,-11.5,40.84,-0.43,1.83,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,7.86,4.21,0.86,5.20,0.88,0.76,0.56,0.94,7.32,25.56,0.63,06 59.48995664' S,107 33.97233112' E,666.70,0.33,23.07.2024,09:49:09.984,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,16,23.07.2024,16:48:23.843,110.7000,0.0465,-.----,-.----,-82.32,19.69,20.96,90.01,150.01,-12.3,40.65,2.74,2.10,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,8.01,4.24,0.71,5.34,0.71,0.59,0.71,0.97,6.88,26.10,0.67,06 59.49056620' S,107 33.97208836' E,666.85,0.28,23.07.2024,09:49:10.484,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,17,23.07.2024,16:48:24.344,110.7000,0.0466,-.----,-.----,-81.54,20.10,20.41,90.03,150.01,-3.1,40.51,2.52,1.71,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,6.98,3.64,0.70,4.66,0.80,0.67,0.74,1.38,7.03,24.26,0.56,06 59.49084175' S,107 33.97198315' E,666.90,0.24,23.07.2024,09:49:10.985,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,18,23.07.2024,16:48:24.844,110.7000,0.0466,-.----,-.----,-81.94,19.85,19.55,90.03,150.02,2.9,39.40,4.37,1.80,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,6.96,3.59,0.79,4.54,0.89,0.75,0.66,0.76,7.62,23.98,0.54,06 59.49102765' S,107 33.97181875' E,666.95,0.89,23.07.2024,09:49:11.485,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,19,23.07.2024,16:48:25.344,110.7000,0.0465,-.----,-.----,-82.04,20.01,18.96,90.01,149.99,10.1,38.97,4.23,2.01,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,7.22,4.21,0.67,4.34,0.66,0.71,0.60,0.99,6.24,23.95,0.66,06 59.49127265' S,107 33.97169375' E,667.00,1.08,23.07.2024,09:49:11.985,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,20,23.07.2024,16:48:25.844,110.7000,0.0465,-.----,-.----,-81.66,19.98,18.47,90.01,149.98,14.6,38.45,1.79,1.85,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,7.17,3.63,0.66,4.32,0.75,0.53,0.60,0.79,6.40,24.07,0.53,06 59.49154735' S,107 33.97146480' E,666.90,1.49,23.07.2024,09:49:12.485,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,21,23.07.2024,16:48:26.344,110.7000,0.0465,-.----,-.----,-80.76,19.91,18.88,90.01,149.98,10.0,38.78,-0.07,1.80,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,5.54,3.34,0.52,4.06,0.74,0.53,0.43,0.88,5.64,22.37,0.47,06 59.49180235' S,107 33.97130480' E,666.90,1.75,23.07.2024,09:49:12.985,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,22,23.07.2024,16:48:26.845,110.7000,0.0466,-.----,-.----,-81.41,19.98,18.79,90.01,150.00,11.5,38.78,-2.77,2.18,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,6.02,3.16,0.74,3.91,0.96,0.77,0.65,0.76,7.59,21.77,0.59,06 59.49103252' S,107 33.97139710' E,666.45,-0.49,23.07.2024,09:49:13.486,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,23,23.07.2024,16:48:27.345,110.7000,0.0465,-.----,-.----,-82.36,19.93,18.82,90.02,150.00,10.7,38.74,-2.06,2.37,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,6.91,3.96,0.75,4.51,0.69,0.62,0.80,0.81,7.37,24.72,0.71,06 59.49094252' S,107 33.97132210' E,666.30,-1.07,23.07.2024,09:49:13.986,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
