RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I     ,18,23.07.2024,16:46:36.727,334.7000,-0.3155,-.----,-.----,-110.02,2.50,2.21,-.--,-.--,2.5,4.71,-.--,7.32,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,487.61,579.43,4.41,2.31,2.33,2.24,2.47,2.49,417.74,271.00,3.61,06 59.49683816' S,107 33.97080360' E,674.11,0.07,23.07.2024,09:47:23.364,7,OK,GPS,0.91,1.65,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,19,23.07.2024,16:46:37.228,334.7000,-0.2669,-.----,-.----,-109.96,2.86,3.04,-.--,-.--,-1.6,5.90,-.--,8.43,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,571.28,624.72,3.48,2.10,1.78,1.99,2.46,2.38,226.84,191.59,3.18,06 59.49680810' S,107 33.97075350' E,674.26,-0.03,23.07.2024,09:47:23.865,7,OK,GPS,0.91,1.65,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I     ,20,23.07.2024,16:46:37.728,334.7000,-0.2477,-.----,-.----,-110.11,2.36,2.35,-.--,-.--,0.1,4.70,-.--,8.87,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,493.04,541.55,3.98,2.39,2.07,2.10,2.99,2.62,inf,inf,3.91,06 59.49664160' S,107 33.97085365' E,674.00,0.34,23.07.2024,09:47:24.365,7,OK,GPS,0.91,1.65,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,21,23.07.2024,16:46:38.228,334.7000,-0.2545,-.----,-.----,-110.11,2.17,2.67,-.--,-.--,-4.2,4.84,-.--,7.82,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,538.79,651.12,2.67,3.24,1.55,2.71,3.00,3.15,320.19,inf,3.20,06 59.49656160' S,107 33.97085865' E,674.00,0.41,23.07.2024,09:47:24.865,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,22,23.07.2024,16:46:38.728,334.7000,-0.4060,-.----,-.----,-110.29,1.96,2.06,-.--,-.--,-0.8,4.01,-.--,7.73,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,586.30,579.69,3.55,2.86,2.41,2.14,1.85,2.76,inf,inf,2.71,06 59.49641335' S,107 33.97101380' E,674.27,0.75,23.07.2024,09:47:25.365,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,23,23.07.2024,16:46:39.228,334.7000,-0.2617,-.----,-.----,-110.35,2.95,2.08,-.--,-.--,7.4,5.03,-.--,7.98,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,551.81,596.72,2.30,2.49,2.31,1.89,2.31,2.72,202.49,278.00,2.20,06 59.49630835' S,107 33.97107380' E,674.37,0.91,23.07.2024,09:47:25.865,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I     ,24,23.07.2024,16:46:39.728,334.7000,-0.1591,-.----,-.----,-111.38,1.85,2.80,-.--,-.--,-8.1,4.65,-.--,7.93,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,410.68,595.27,2.21,2.55,2.22,2.09,2.95,2.57,inf,inf,2.52,06 59.49614875' S,107 33.97098365' E,674.06,0.81,23.07.2024,09:47:26.365,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,25,23.07.2024,16:46:40.228,334.7000,-0.4078,-.----,-.----,-111.19,2.17,2.59,-.--,-.--,-3.6,4.76,-.--,7.49,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,589.15,591.87,2.92,2.40,1.66,1.99,2.43,2.31,341.94,229.04,2.37,06 59.49602375' S,107 33.97098865' E,674.01,0.88,23.07.2024,09:47:26.865,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,26,23.07.2024,16:46:40.728,334.7000,-0.2292,-.----,-.----,-111.14,2.35,1.50,-.--,-.--,7.3,3.85,-.--,7.33,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,612.68,712.96,3.26,3.11,1.91,1.96,2.74,2.18,309.08,478.67,3.15,06 59.49602160' S,107 33.97072065' E,674.10,0.37,23.07.2024,09:47:27.365,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,27,23.07.2024,16:46:41.228,334.7000,-0.3303,-.----,-.----,-111.09,2.66,1.75,-.--,-.--,7.8,4.41,-.--,7.87,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,558.46,654.36,3.09,2.61,1.73,2.58,3.39,2.22,265.28,inf,3.59,06 59.49594160' S,107 33.97062565' E,674.10,0.23,23.07.2024,09:47:27.865,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
